supp,caff_per_serv,caff_source
ABB Speed Stacked Pumped,300/bottle,"Caffeine Anhydrous, Guarana"
About Time AUX,60/scoop,"Yerba Mate’, Guarana, Green Tea"
BANG Energy Drink,300/can,Caffeine Anhydrous
Hyde Power Potion,350/can,Caffeine Anhydrous
BPI B4,300/capsule*,Caffeine Anhydrous
Adrenaline Shoc,300/can,Caffeine Anhydrous
BSN Endo Rush,300/scoop,"Caffeine Anhydrous, Green Tea, Green Coffee Beans"
Raze,300/can,Caffeine Anhydrous
Celsius Heat,300/can,Caffeine Anhydrous
BSN N.O. Xplode 2.0,275/scoop,Caffeine Anhydrous
Reign Total Body Fuel,300/can,Caffeine Anhydrous
Rockstar Xdurance,300/can,Caffeine Anhydrous
Speed Stack,250/bottle,Caffeine Anhydrous
Cellucor C4 Extreme,200/scoop,Caffeine Anhydrous
Cellucor C4 Pre-Workout,150/scoop,Caffeine Anhydrous
Cellucor C4 Ripped,150/scoop,Caffeine Anhydrous
Nitro Surge,180/scoop,Caffeine Anhydrous
Insane labs Psychotic,300/scoop,Caffeine Anhydrous
Promix P,200/scoop,Caffeine Anhydrous
Evolution Nutrition ENGN,300/scoop,Caffeine Anhydrous/ VitaShure Caffeine
Naked Energy Pre-workout,200/scoop,Green coffee beans
DyNo by RSP Nutrition,300/scoop,Caffeine Anhydrous
EndurElite PerformElite,225/scoop,Caffeine Anhydrous/ Caffeine Pterostilbene Cocrystal
Vintage Blast Pre-workout,250/scoop,Caffeine Anhydrous/ Micro-encapsulated caffeine
GAT Nitraflex,325/scoop,?
GNC Hyper-Ripped,150/scoop,Caffeine Anhydrous
Legion Pulse,350/2 scoops,Caffeine Anhydrous
IdealLean Pre-Workout,150/scoop,Natural caffeine
iForce Maximize Intense,200/scoop,Caffeine Anhydrous
Pre-Kaged,274/scoop,Purecaf organic caffeine
Beyond Raw LIT,250/scoop,Caffeine Anhydrous
Six Star Explosion,135/scoop,Caffeine Anhydrous
Mr. Hyde Icon,250/scoop,Caffeine Anhydrous
Mr. Hyde by Pro Supps,196/scoop,Caffeine Anhydrous/ Dicaffeine Malate
Mr. Hyde Nitro X,375/scoop,Caffeine Anhydrous/ Dicaffeine Malate/ Caffeine Citric Acid
Muscle Marinade,300/scoop,"1,3,7-trimethylxanthine"
Muscle Pharm Assault,250/scoop,Caffeine Anhydrous
MuscleTech Neurocore,110/scoop,Caffeine Anhydrous
Transparent Labs Lean,180/scoop,Caffeine Anhydrous
NANO Vaporx5 ,190/scoop,Caffeine Anhydrous
RARI Nutrition Infinity,350/scoop,Caffeine Anhydrous
Octane Energy/Sports Drink,225/ scoop,Caffeine Anhydrous
ON Gold Standard Preworkout,175/scoop,Green coffee and green tea extract
ON AMIN.O. Energy,100/2 scoops,Green coffee and green tea extract
Oxyelite Pro,100/capsule,Caffeine Anhydrous
Pre JYM,300/scoop,Caffeine Anhydrous
Redline RTD,250/bottle,Caffeine Anhydrous
Cobra Labs The Curse,155/scoop,Caffeine Anhydrous
Recon1 Total War,350/scoop,Caffeine Anhydrous/ Dicaffeine Malate
Nutrex Research Outlift,350/scoop,Caffeine Anhydrous
